TOTAL RUNTIME,AVG TIME PER CAR,CRASHED
165,3.3,
166,1.6767676767676767,X
166,1.129251700680272,X
166,0.8736842105263158,X
166,0.7186147186147186,X
166,0.6102941176470589,X
166,0.5424836601307189,X
166,0.47701149425287354,X
166,0.43116883116883115,X
166,0.39712918660287083,X
166,0.3713646532438479,X
166,0.34511434511434513,X
166,0.3204633204633205,X
166,0.3018181818181818,X
166,0.2852233676975945,X
166,0.2707993474714519,X
166,0.25696594427244585,X
166,0.24702380952380953,X
166,0.23680456490727533,X
166,0.2289655172413793,X
166,0.21986754966887417,X
166,0.2128205128205128,X
166,0.20672478206724781,X
166,0.2009685230024213,X
166,0.19369894982497082,X
166,0.18799546998867497,X
166,0.18221734357848518,X
166,0.1790722761596548,X
166,0.17473684210526316,X
166,0.16956077630234934,X
166,0.166,X
166,0.16195121951219513,X
166,0.15854823304680038,X
166,0.15543071161048688,X
166,0.15243342516069788,X
166,0.14954954954954955,X
166,0.14716312056737588,X
166,0.14485165794066318,X
166,0.1429801894918174,X
166,0.1404399323181049,X
166,0.13810316139767054,X
166,0.1357318070318888,X
166,0.1335478680611424,X
166,0.13143309580364212,X
166,0.1292834890965732,X
166,0.12759415833973867,X
166,0.12537764350453173,X
166,0.12323682256867112,X
166,0.12099125364431487,X
166,0.11908177905308465,X
166,0.1172316384180791,X
166,0.11511789181692095,X
166,0.11385459533607682,X
166,0.11231393775372124,X
166,0.11081441922563418,X
166,0.10971579643093192,X
166,0.10828440965427266,X
166,0.1067524115755627,X
166,0.10553083280356007,X
166,0.10420590081607031,X
166,0.10304158907510863,X
166,0.10152905198776759,X
166,0.10048426150121065,X
166,0.09928229665071771,X
166,0.09799291617473435,X
166,0.09701928696668614,X
166,0.09589832466782207,X
166,0.09485714285714286,X
166,0.09394453876627051,X
166,0.0926856504745952,X
166,0.09151047409040794,X
166,0.09080962800875274,X
166,0.08982683982683982,X
166,0.08900804289544235,X
166,0.08806366047745358,X
166,0.08718487394957983,X
166,0.08650338718082334,X
166,0.08543489449305199,X
166,0.08456444218033622,X
166,0.08354302969300453,X
166,0.08291708291708291,X
166,0.08201581027667984,X
166,0.08117359413202933,X
166,0.08058252427184466,X
166,0.07984607984607985,X
166,0.07919847328244274,X
166,0.07841284837033538,X
166,0.07775175644028103,X
166,0.07703016241299304,X
166,0.07649769585253456,X
166,0.0756953944368445,X
166,0.07504520795660036,X
166,0.07443946188340807,X
166,0.07364685004436557,X
166,0.07315998237108859,X
166,0.07271134472185721,X
166,0.072236727589208,X
166,0.07179930795847751,X
166,0.0711835334476844,X
166,0.0706984667802385,X
