TEST FILE,# CARS,# SEDANS,# VANS,# TRUCKS,# RANDOM DRIVERS,# AGGRESSIVE DRIVERS,# CONSERVATIVE DRIVERS,# SLOW DRIVERS,# FAST DRIVERS,# SAFE DRIVERS,# SELFISH DRIVERS,# FAIR DRIVERS,# TEST DRIVERS,AVG. TOTAL RUNTIME,AVG. AVG. TIME/CAR,# CRASHES
1177.csv,8,2,2,4,0,5,1,5,0,1,1,3,0,591.0,371.75,0
1178.csv,8,2,2,4,0,3,3,2,3,2,1,3,0,639.0,298.25,0
1179.csv,8,2,2,4,0,1,8,1,2,0,0,4,0,1251.5,605.875,0
1180.csv,8,2,2,4,4,3,1,2,1,0,3,2,0,45.0,0.0,2
1181.csv,8,2,2,4,4,2,4,2,3,0,0,2,0,58.0,0.0,2
1182.csv,8,2,2,4,4,2,3,1,1,2,1,2,0,18.0,0.0,2
1183.csv,8,2,2,4,4,5,2,1,0,1,1,2,0,23.0,0.0,2
1184.csv,8,2,2,4,4,2,4,0,1,0,0,5,0,23.0,0.0,2
1185.csv,8,2,2,4,0,0,1,2,1,9,2,1,0,668.5,0.0,0
1186.csv,8,2,2,4,0,1,1,1,2,6,2,3,0,230.5,8.125,1
1187.csv,8,2,2,4,0,2,1,1,1,4,4,3,0,518.5,0.0,0
1189.csv,8,2,2,4,0,3,1,2,4,0,4,2,0,775.0,359.0625,2
1192.csv,8,2,2,4,0,6,3,1,2,1,2,1,0,143.5,104.5,1
1193.csv,8,2,2,4,0,3,3,0,4,4,2,0,0,621.0,324.875,2
1194.csv,8,2,2,4,0,7,2,1,2,1,0,3,0,746.0,310.875,2
1195.csv,8,2,2,4,0,2,2,1,1,3,4,3,0,326.0,168.5625,1
1196.csv,8,2,2,4,0,3,1,3,1,1,2,5,0,774.0,338.4375,2
1197.csv,8,2,2,4,0,3,2,3,3,2,2,1,0,521.5,279.875,2
1198.csv,8,2,2,4,0,3,2,0,4,4,3,0,0,616.5,341.375,2
1200.csv,8,2,2,4,0,3,4,1,3,1,1,3,0,927.0,416.25,2
1201.csv,8,2,2,4,0,3,3,0,3,1,3,3,0,408.0,246.875,2
1202.csv,8,2,2,4,0,1,3,0,3,3,5,1,0,347.0,250.1875,2
1203.csv,8,2,2,4,0,2,2,1,2,2,3,4,0,226.0,124.875,1
1204.csv,8,2,2,4,0,4,2,1,2,3,2,2,0,766.0,255.25,1
