TOTAL RUNTIME,AVG TIME PER CAR,CRASHED
1,0.02,X
1,0.010752688172043012,X
1,0.007407407407407408,X
1,0.005681818181818182,X
1,0.0045871559633027525,X
1,0.003968253968253968,X
1,0.003401360544217687,X
1,0.0030211480362537764,X
1,0.002688172043010753,X
1,0.0024509803921568627,X
1,0.002257336343115124,X
1,0.0020964360587002098,X
1,0.001976284584980237,X
1,0.0018796992481203006,X
1,0.0017921146953405018,X
1,0.0016891891891891893,X
1,0.0016181229773462784,X
1,0.0015527950310559005,X
1,0.0014992503748125937,X
1,0.0014534883720930232,X
1,0.0014104372355430183,X
1,0.0013477088948787063,X
1,0.0013020833333333333,X
1,0.0012626262626262627,X
1,0.0012195121951219512,X
1,0.001177856301531213,X
1,0.0011467889908256881,X
1,0.0011123470522803114,X
1,0.001081081081081081,X
1,0.001059322033898305,X
1,0.0010395010395010396,X
1,0.0010152284263959391,X
1,9.910802775024777E-4,X
1,9.70873786407767E-4,X
1,9.532888465204957E-4,X
1,9.337068160597573E-4,X
1,9.157509157509158E-4,X
1,9.000900090009E-4,X
1,8.841732979664014E-4,X
1,8.635578583765112E-4,X
1,8.51063829787234E-4,X
1,8.389261744966443E-4,X
1,8.216926869350862E-4,X
1,8.103727714748784E-4,X
1,7.942811755361397E-4,X
1,7.8125E-4,X
1,7.692307692307692E-4,X
1,7.587253414264037E-4,X
1,7.451564828614009E-4,X
1,7.374631268436578E-4,X
1,7.267441860465116E-4,X
1,7.168458781362007E-4,X
1,7.047216349541931E-4,X
1,6.91085003455425E-4,X
1,6.844626967830253E-4,X
1,6.734006734006734E-4,X
1,6.622516556291391E-4,X
1,6.540222367560497E-4,X
1,6.464124111182935E-4,X
1,6.369426751592356E-4,X
1,6.297229219143577E-4,X
1,6.222775357809583E-4,X
1,6.142506142506142E-4,X
1,6.071645415907711E-4,X
1,6.009615384615385E-4,X
1,5.945303210463733E-4,X
1,5.865102639296188E-4,X
1,5.793742757821553E-4,X
1,5.714285714285715E-4,X
1,5.64652738565782E-4,X
1,5.577244841048522E-4,X
1,5.518763796909492E-4,X
1,5.461496450027307E-4,X
1,5.414185165132648E-4,X
1,5.376344086021505E-4,X
1,5.31632110579479E-4,X
1,5.260389268805891E-4,X
1,5.213764337851929E-4,X
1,5.17063081695967E-4,X
1,5.125576627370579E-4,X
1,5.076142131979696E-4,X
1,5.037783375314861E-4,X
1,4.985044865403788E-4,X
1,4.928536224741252E-4,X
1,4.880429477794046E-4,X
1,4.8262548262548264E-4,X
1,4.789272030651341E-4,X
1,4.74158368895211E-4,X
1,4.6992481203007516E-4,X
1,4.6468401486988845E-4,X
1,4.608294930875576E-4,X
1,4.5682960255824577E-4,X
1,4.5351473922902497E-4,X
1,4.492362982929021E-4,X
1,4.452359750667854E-4,X
1,4.422821760283061E-4,X
1,4.3956043956043956E-4,X
1,4.3554006968641115E-4,X
1,4.317789291882556E-4,X
1,4.2826552462526765E-4,X
